Patente;Nro;FECHA;Kms.;MOTIVO;DESCRIPCIÓN;LUGAR;FACTURA Nro.;FECHA DE PAGO;MONTO;OBSERVACIONES;
AF333BT;31;25/7/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002843;29/8/2025;$ 192.942,92;;
AG366YU;32;24/7/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002834;29/8/2025;$ 524.002,00;;
AG059DG;33;17/7/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002824;29/8/2025;$ 524.001,99;;
AF857HF;34;14/7/2025;180.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 180.000 KM ;RENAULT - LOMAS;0045-00002812;29/8/2025;$ 524.001,99;;
AF215FO;35;10/7/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002813;29/8/2025;$ 524.001,99;;
AG278OX;36;8/7/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002801;29/8/2025;$ 524.001,93;;
AG196ZQ;37;7/7/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002832;29/8/2025;$ 524.001,99;;
AF757AU;38;7/7/2025;180.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 180.000 KM ;RENAULT - LOMAS;0045-00002802;29/8/2025;$ 524.001,93;;
AF047UW;39;1/7/2025;160.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 160.000 KM ;RENAULT - LOMAS;0045-00002787;29/8/2025;$ 524.001,99;;
AF421HL;40;30/6/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002788;29/8/2024;$ 367.652,28;;
AG278OY;41;30/6/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002785;31/7/2025;$ 501.130,82;;
AG366YT;42;28/6/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002784;31/7/2025;$ 501.130,83;;
AG196ZP;43;27/6/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002781;31/7/2025;$ 834.298,49;;
AF333BV;44;26/6/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002780;31/7/2025;$ 501.147,06;;
AF481PG;45;26/6/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002779;31/7/2025;$ 516.930,78;;
AF174KK;46;24/6/2025;160.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 160.000 KM ;RENAULT - LOMAS;0045-00002774;31/7/2025;$ 501.130,83;;
AF481PB;47;23/6/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002771;31/7/2025;$ 501.130,83;;
AF333BS;48;18/6/2025;121.100;SERVICIO;SE REALIZO REEMPLAZO DE CAJA TERMOSTATICA;RENAULT - LOMAS;0045-00002764;31/7/2025;$ 501.733,25;;
AG059DH;49;17/6/2025;120.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002762;31/7/2025;$ 531.752,32;;
AG445AJ;50;13/6/2025;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0015-00002319;31/7/2025;$ 532.730,72;;
AF757AZ;51;12/6/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0015-00002315;31/7/2025;$ 750.073,02;;
AF270OW;52;11/6/2025;50.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 50.000 KM ;RENAULT - LOMAS;0045-00002757;31/7/2025;$ 201.367,94;;
AF278OZ;53;6/6/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002752;31/7/2025;$ 501.130,83;;
AF270OX;54;6/6/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002751;31/7/2025;$ 559.622,04;;
AG445AI;55;2/6/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002736;31/7/2025;$ 501.130,83;;
AG315HD;56;29/5/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002732;30/6/2025;$ 504.159,02;;
AG315HB;57;27/5/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002731;30/6/2025;$ 504.159,02;;
AG315HG;58;19/5/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002718;30/6/2025;$ 504.159,02;;
AF305MA;59;14/5/2025;160.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 160.000 KM ;RENAULT - LOMAS;0045-00002699;30/6/2025;$ 504.159,03;;
AG012UV;60;14/5/2025;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002697;30/6/2025;$ 504.159,02;;
AF481OU;61;14/5/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002695;30/6/2025;$ 561.164,98;;
AF481OQ;62;7/5/2025;90.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 90.000 KM ;PABLO;;;;;
AF857HF;63;6/5/2025;160.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 160.000 KM ;RENAULT - LOMAS;0045-00002686;30/6/2025;$ 504.159,08;;
AG059DJ;64;1/5/2025;160.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 160.000 KM ;RENAULT - LOMAS;0045-00002685;30/6/2025;$ 486.341,62;;
AF757AS;65;1/5/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002684;30/6/2025;$ 745.957,23;;
AG126UB;66;30/4/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002669;;$ 501.729,18;;
AF333BT;67;29/4/2025;90.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 90.000 KM ;RENAULT - LOMAS;0045-00002667;6/6/2025;$ 186.623,74;;
AG366YU;68;29/4/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002666;6/6/2025;$ 501.729,19;;
AF757AU;69;25/4/2025;160.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 160.000 KM ;RENAULT - LOMAS;0045-00002655;6/6/2025;$ 486.341,62;;
AF452DA;70;25/4/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002657;6/6/2025;$ 501.729,45;;
AG445AJ;71;22/4/2025;20.000;SERVICIO;REPARACION SINIESTRO 743989;RENAULT - LOMAS;0019-00002796;6/6/2025;$ 485.157,06;;
AG366YT;72;21/4/2025;120.000;REPARACION;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002647;6/6/2025;$ 719.609,17;;
AG059DG;73;14/4/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002640;6/6/2025;$ 719.609,19;;
AG278OX;74;11/4/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002642;6/6/2025;$ 486.340,01;;
AF333BS;75;9/4/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002639;6/6/2025;$ 719.609,23;;
AG126UE;76;7/4/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002617;6/6/2025;$ 486.341,62;;
AG315HB;77;4/4/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002584;6/6/2025;$ 486.341,68;;
AF608ZD;78;31/3/2025;120.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 120.000 KM ;RENAULT - LOMAS;0045-00002577;6/6/2025;$ 669.439,88;;
AG445AI;79;31/3/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002613;6/6/2025;$ 445.467,14;;
AG278OZ;80;26/3/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002562;12/5/2025;$ 445.467,14;;
AF215FN;81;19/3/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002546;12/5/2025;$ 445.467,14;;
