Patente;Nro;FECHA;Kms.;MOTIVO;DESCRIPCIÓN;OBSERVACIONES
AF333BW;1;;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;Se le hace cambio de Filtros y Aceite
AF421HL;2;;90.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 90.000 KM ;
AF481OR;3;;50.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 50.000 KM ;
AF481OU;4;;70.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 70.000 KM ;
