PATENTE;Nro.;FECHA;KILOMETRAJE;MOTIVO;LUGAR ;
AF333BU;55;23/12/2023;;INSTALACION DE PARABRISAS;Parabrisas Vasquez;RETIRADA
AF047UQ;56;1/11/2023;;INSTALACION DE PARABRISAS;LAVALLOL;RETIRADA
AF144KK;57;23/10/2023;;INSTALACION DE PARABRISAS;TRES ARROYO 3138;RETIRADA
AB027KF;58;7/10/2023;;REPARACION ALTERNADOR;JAVIER ACUÑA;RETIRADA
AF481PH;59;2/10/2023;;reparación de la polea del cigüeñal;RENAULT LOMAS DE ZAMORA;RETIRADA
AC 515 JI;60;19/9/2023;;REPARACION ALTERNADOR;JAVIER ACUÑA;RETIRADA
AF857HF;61;13/9/2023;;REPARACION DE LA CALEFACCION;RENAULT LOMAS DE ZAMORA;RETIRADA
AE870CQ;62;9/6/2023;;SE LE CAMBIO ELECTROVENTILADOR;RENAULT LOMAS DE ZAMORA;RETIRADA
AF333BS;63;9/6/2023;;REPARACION DE LA CALEFACCION;RENAULT LOMAS DE ZAMORA;RETIRADA
AE626OV;64;5/9/2023;;SE CAMBIO EL PULSADOR DEL LEVANTAVIDRIO LADO DERECHO;JAVIER ACUÑA;RETIRADA
AF047UR;65;4/9/2023;;REPARACION ALTERNADOR;RENAULT LOMAS DE ZAMORA;RETIRADA
MVE291;66;4/8/2023;;Cambio de Cazoletas Crapodinas, Fuelle de caja, grasa de caja;TALLER DE PABLO;RETIRADA
AF757RX;67;3/8/2023;;CAMBIO DE CAJA TERMOSTATICA;RENAULT LOMAS DE ZAMORA;RETIRADA
AF571RX;68;31/7/2023;;CAMBIO DE CAJA TERMOSTATICA;RENAULT LOMAS DE ZAMORA;RETIRADA
AE626OV;69;29/6/2023;;CAMBIO DE PASTILLAS DE FRENO;JAVIER ACUÑA;RETIRADA
NSA764;70;28/4/2023;;REPARACION CHAPA;TALLER DE PABLO;RETIRADA
AF086CU;71;25/4/2023;;REPARACION ALTERNADOR;RENAULT LOMAS DE ZAMORA;retirada
AF047UR;72;24/4/2023;;REPARACION CALEFACCIÓN;RENAULT LOMAS DE ZAMORA;retirada
AF138CR;73;14/4/2023;;REPARACION DE CHAPA;RENAULT LOMAS DE ZAMORA;
AE870CP;74;13/4/2023;;PROBLEMA ELECTRICO;RENAULT LOMAS DE ZAMORA;retirada
AF047UE;75;29/3/2023;;REPARACION DE CHAPA;RENAULT LOMAS DE ZAMORA;retirada
AE626OV;76;29/3/2023;;REPARACION CHAPA;RENAULT LOMAS DE ZAMORA;retirada
AF174KK;77;6/3/2023;;REPARACION 4X4;RENAULT LOMAS DE ZAMORA;
AE667QV;78;12/2/2023;;SE QUEDO TRANCADA LA CAJA de VELOCIDADES;RENAULT LOMAS DE ZAMORA;
AB027KG;79;22/2/2023;;REPARACION CHAPA;RENAULT LOMAS DE ZAMORA;retirada
AE626OV;80;16/2/2023;;REPARACION CHAPA;RENAULT LOMAS DE ZAMORA;
AF215FO;81;27/2/2023;;REPARACION CHAPA;RENAULT LOMAS DE ZAMORA;retirada
